"","species1","species2","species3","species4","species5","species6","species7","species8","species9","species10","species11","species12","species13","species14","species15","species16","species17","species18","species19","species20","species21","species22","species23","species24","species25","species26","species27","species28","species29","species30","species31","species32","species33","species34","species35","species36","species37","species38","species39","species40","species41","species42","species43","species44","species45","species46","species47","species48","species49","species50","species51","species52","species53","species54","species55","species56","species57","species58","species59","species60","species61","species62","species63","species64","species65","species66","species67","species68","species69","species70","species71","species72","species73","species74","species75","species76","species77","species78","species79","species80","species81","species82","species83","species84","species85","species86","species87","species88","species89","species90","species91","species92","species93","species94","species95","species96","species97","species98","species99","species100"
"Site11",2259,5017,6264,9173,3980,3058,1097,9729,8448,3916,6690,5795,633,4894,5439,2882,9143,5513,3897,5522,9983,44,4691,2595,817,8640,6673,874,7347,3926,3388,7818,3471,128,1182,1088,701,7101,6253,6809,3984,6250,8102,8540,7150,1353,1698,4004,9360,4442,6941,8808,610,476,5598,5768,8870,3216,9242,6855,2833,9841,2013,4035,2367,6577,8265,9853,31,4614,7145,5509,2002,3879,56,6661,4380,30,3848,8998,2861,6485,3631,30,215,8347,8218,7912,4351,3728,7592,1705,5391,4600,4108,5719,5091,3614,1088,593
"Site12",9990,524,6821,7842,7516,7477,7701,9024,7074,5358,946,4388,7427,6326,4725,7403,6439,8416,8238,3285,2477,2667,9512,3926,9363,1702,4960,387,4335,498,5803,3591,3753,8461,8135,9945,4836,2219,8085,8735,9369,9888,7293,9032,4491,7462,8070,5870,526,6046,8498,8969,210,5856,8053,6550,5704,7885,8256,4676,2961,4802,7013,5246,57,8263,4718,6130,2739,7765,9232,8018,6281,8699,5534,3808,6317,5243,280,1907,220,8919,8501,4315,4496,7685,9951,7343,6192,6502,7928,8255,2927,6066,7799,5234,3638,9910,7100,7367
"Site13",1989,4224,5333,5291,3666,1261,5313,4494,5429,7873,1824,8487,2610,9720,42,8700,8228,435,5127,1496,5188,2377,3821,5124,4350,6057,5386,6768,2758,9100,1451,2833,1223,519,7481,2685,1470,4092,660,9148,1907,5403,8104,3598,6489,5107,8746,3479,1782,4384,6984,4566,6084,8831,5910,7811,9295,8786,8579,8744,4043,9601,7385,8582,1043,5223,4270,4294,7947,914,963,5829,407,814,9493,3825,4783,6086,5600,7132,6501,6998,4052,5390,9265,9287,4629,4765,1518,1663,9617,9792,3291,8674,9674,6840,8864,1534,2974,4374
"Site14",7740,253,193,4863,66,6967,1750,2149,3552,2588,6878,4242,8155,749,2018,7603,8603,1732,6227,7311,4312,1614,7644,7565,2207,2997,6045,4906,2537,4792,3517,2478,1457,2306,4032,9782,5565,6116,5709,8577,7557,2560,930,451,3401,7237,1514,1732,2312,5632,6473,1592,212,1824,7079,2532,4867,2982,1931,4624,3924,9770,9791,2415,8469,9217,7203,7694,8384,8965,7974,4858,9060,9874,2408,1447,2147,2533,2640,5268,9539,9026,4670,4092,6330,4787,132,2265,4755,2849,5449,9851,9046,4806,3606,1105,1563,922,8093,1087
"Site15",5488,6348,6049,4392,9294,3672,4959,392,8617,262,214,6710,2774,8102,6517,877,6426,7475,8455,4612,9712,9282,1766,3380,1780,1605,4972,9422,1834,5311,42,2030,4970,9181,6829,9906,4010,4413,9838,8453,7912,6223,6851,6096,9393,8219,3222,8507,4091,5719,398,2069,4783,5824,991,9457,8299,7540,9745,9586,8938,2724,9559,2108,7951,56,52,2066,5841,9884,5927,2294,4370,249,9269,6463,3463,2549,9707,9306,8837,8593,6018,8141,233,4168,6842,4650,3124,5288,6892,9628,85,3429,3606,5168,1620,5248,1909,6866
"Site16",9792,6463,6300,2236,2992,2190,7168,1762,5000,7263,4126,6272,7799,2892,4609,6556,8119,1516,6414,5611,3235,3224,55,5639,6450,8930,5711,1221,707,9345,9669,6439,8156,6955,6922,370,524,373,6743,4310,290,2620,343,1784,8244,8521,994,1791,3749,4994,3309,3466,2961,5555,7853,4383,3280,3175,5812,465,996,2889,6579,3628,9435,4098,176,2562,7720,239,7946,5252,7883,6562,4588,899,2207,4237,7428,5741,9821,9524,4908,2004,5430,140,2148,5716,8460,5434,9303,2588,9702,2772,1916,6154,4929,8035,4197,8436
"Site17",3811,107,3070,9064,4906,2585,9972,7103,4799,9622,9881,3664,3435,7884,8941,6300,4068,6180,5857,2922,5799,348,6995,3412,5006,7466,2500,3923,3148,7046,8031,8697,7236,904,2773,9998,7079,7788,5716,1333,765,1116,9788,6255,8053,6295,8085,4323,2746,6257,9170,5632,8387,2863,3168,1088,8781,9032,4630,4183,1246,3590,4599,511,5529,8076,7740,433,7148,7302,8039,3347,5283,1158,2847,7518,5976,9310,66,3387,1701,1286,8645,63,5620,7408,5183,9265,2696,9496,3862,4761,2225,9932,1288,678,3231,5659,6698,596
"Site18",8746,2651,8426,7608,8408,1301,7424,8194,4053,7781,4394,6869,252,7673,6993,340,682,6826,7080,4504,2660,3560,865,713,5695,2654,3860,7095,8054,27,8346,9626,766,8467,6110,2513,253,3946,8483,3536,788,6312,5825,8793,145,3149,9627,8778,4951,8632,795,4379,6949,7330,8012,9299,2186,3229,4132,9292,1534,6651,8681,8050,3669,1885,6856,2147,2865,1186,3719,2002,1557,5132,5140,7694,5009,9659,7427,5710,2841,8561,1019,542,8275,2291,6371,3353,6147,3581,3730,1626,3228,5951,7082,811,8188,5166,6260,4182
"Site19",8127,2568,6045,8668,9966,40,325,2845,3344,517,4372,7187,5657,5696,2445,7265,8113,814,9279,3504,904,7886,7265,9900,3096,1235,7517,244,6365,6651,8256,9033,1330,6304,3272,5777,6655,855,3425,5494,6861,724,7148,623,1756,8301,467,2342,2440,9506,9176,6362,1011,6936,4558,655,7181,1462,9318,4670,6850,1733,9500,8823,6587,3527,2726,8700,3433,8269,7216,114,7441,9102,1942,7774,4655,2537,8263,3390,9768,2595,1943,1422,1188,4863,7417,6162,7892,5950,1953,6938,9819,8321,9034,4675,6569,7209,1699,715
"Site20",6077,7876,2662,6671,7427,1116,5169,3918,6389,291,9117,5430,1671,7863,2624,8159,6271,2792,1127,6069,8453,3223,1747,1826,1797,6837,9001,5755,5130,1194,8964,5831,8124,9275,6674,2299,4400,8831,9970,8239,8267,8358,5732,1789,766,7904,8278,6122,7622,1275,1975,2089,9023,1075,8061,7710,3966,6639,9657,2835,3052,5288,2408,9042,4877,4053,2708,872,7943,7330,1923,7286,1912,4530,7410,2923,4322,900,7817,4555,3007,5565,6040,4741,4120,2923,3884,1953,6468,4794,4669,8736,9067,8746,8930,6324,2946,1600,150,7311
"Site21",980,3523,117,6400,786,6164,3618,1312,2401,7171,4817,1914,6352,2264,478,3277,1868,5422,7977,6648,3929,3735,3181,2201,2588,4602,9127,6416,2679,3786,4196,5695,3536,1618,7994,6284,6943,456,9151,9545,6031,4624,9373,6457,7558,8097,6437,1750,6249,5538,3805,6701,6027,4198,2037,5175,391,8285,2747,7270,832,3883,8233,7826,9296,8881,6453,462,3060,4874,7915,4806,7594,9250,3032,4717,7917,1468,423,5347,5364,283,6392,3136,2364,9240,7592,1452,1237,4289,1592,1269,1577,7742,4376,891,4989,7230,1603,3801
"Site22",8070,1573,8212,4381,3693,364,1455,2560,7867,6957,5456,4768,4385,2131,6443,2126,9698,612,9494,8150,8345,9832,2226,1645,8979,7612,6698,5487,3981,967,8619,5269,7396,6550,5188,4072,5097,4792,5172,3650,9282,5494,1358,4758,2435,7878,5360,3309,9805,4026,6656,6699,9879,123,7726,9919,7828,5559,4821,8694,6045,1328,6532,521,9003,486,4587,5974,887,5027,6144,5329,3409,3281,989,7291,1262,8314,2718,6961,5510,3035,9003,7088,9283,6140,7771,6341,8015,2286,6345,4836,3940,9405,9131,6327,1171,8082,4263,8110
"Site23",4399,4641,4284,1572,895,7136,7619,4937,3518,4284,8504,4461,3713,1214,5176,2051,2943,3490,2909,2252,4096,6404,6746,5647,6899,144,3709,7370,4877,4728,5338,400,6480,5081,8968,3733,5941,1474,2598,5622,3788,5086,6114,8908,9420,6235,558,9579,5165,6345,564,7916,1742,8409,9288,1670,9033,5100,2164,3835,8836,9465,2711,1969,5721,9565,7392,7762,6558,2247,5365,4051,693,244,53,5669,3893,7267,4759,3432,6012,5534,5085,6645,9104,7607,1699,499,5998,7341,792,8682,5310,7101,8439,893,3102,3093,9222,2926
"Site24",7156,544,3088,7498,3083,9885,3013,1863,5781,3124,8144,92,6711,9372,4460,9254,8567,4646,7617,9494,9414,4323,7212,5364,9957,9708,1083,6492,2411,6418,8262,9170,7953,6333,9162,104,2725,8161,9521,5594,5395,9055,1800,1781,224,2733,7118,6867,945,1738,9677,3027,9155,642,4038,1711,3318,9868,8988,413,3600,5808,6125,3168,4556,1350,7683,6818,2759,1841,178,9383,9553,3476,6021,7279,6852,9942,4315,6438,5842,859,1146,4742,2996,403,4109,5863,8801,11,3372,1914,7456,8258,2824,247,2069,4806,3943,515
"Site25",9424,1485,9446,3352,848,64,5739,3649,2244,5475,5833,7465,1940,2277,2699,5589,4106,2175,7745,7488,1950,986,1045,4535,7285,5988,3495,9558,2052,7524,432,64,2898,1519,7273,2170,2965,2147,6958,6353,9821,8997,8942,6323,2400,173,8679,2216,3698,7621,1503,481,8914,9365,4660,8186,1417,873,807,1053,6922,9965,5004,2687,8715,3254,153,5524,339,1960,6527,680,3230,3203,9614,7596,7962,4252,8743,8130,3762,3312,1779,2348,1729,9297,8226,9115,5950,7511,3662,486,4448,5723,4177,905,2105,7752,7639,7808
"Site26",2382,147,9110,2159,1386,8569,5227,1316,9247,978,4814,9490,7716,8407,3185,8201,7942,646,6489,1368,3662,705,1297,5216,6115,1763,6768,38,1682,4237,8670,291,4285,7228,3740,7882,2622,2339,1180,1892,6652,2240,6236,4649,5602,7672,5700,4872,3486,5563,5399,9430,2951,6960,2938,3724,6629,8989,9823,5287,2506,7485,4232,9594,1467,693,1430,6319,6972,6601,6480,3088,5814,377,913,7424,1855,9698,130,403,5722,8903,1978,1179,132,1763,8201,2205,8279,2847,2583,7927,6929,464,1922,7812,2433,31,6445,1959
"Site27",9038,5048,7846,7007,8669,9459,9399,3691,6251,2346,613,6273,8456,6197,8295,4189,222,8262,4981,7220,94,9437,3314,811,4162,104,2144,7254,193,6259,7510,2206,5063,704,745,436,7945,4361,6518,1805,1500,9503,880,5448,9416,9581,4093,36,1080,1744,5693,7205,2814,2253,7912,5595,2053,2469,2390,6569,6902,5641,8746,829,6319,4966,6793,1739,2752,3978,9665,5098,8654,6855,5947,6859,3543,7599,6239,387,7084,7573,9541,2324,573,9247,9921,7187,3996,5631,9921,5005,3303,4490,5264,2451,4800,8368,3135,7577
"Site28",3866,7813,1567,364,6804,7606,2177,8968,7664,4445,328,6947,3298,4482,1214,1803,9876,2090,5997,6927,781,774,568,8321,7759,251,762,1540,1705,9942,4866,3971,7742,8754,1870,1617,1335,1649,2977,5867,7547,7743,1884,5544,6292,9358,4686,6864,1653,4644,1221,6484,1983,8423,8977,877,8699,56,3764,6386,8683,6425,4258,2540,614,6696,7551,4828,2020,4186,464,4167,6995,7973,3265,2729,8254,753,3956,2451,8457,4516,7929,6357,6212,5021,5073,7050,5014,8860,3727,8295,4997,9658,146,4099,7474,6582,7942,6413
"Site29",8349,9561,2135,4650,6081,6500,2470,9852,2548,7849,7541,5616,9428,9451,3411,2382,8001,4428,5376,611,1361,3133,5774,5732,217,4021,3109,860,7715,2120,7373,6941,8752,4370,6760,6112,6785,9359,3116,1489,3873,3288,2732,2389,8604,9297,1059,8569,9526,2976,3221,2202,3207,2597,1293,869,8491,9212,4459,2230,8609,8403,4126,6836,48,3466,7478,7669,7915,4651,9510,351,492,1396,8031,8661,4078,2991,5687,8810,8931,3400,3403,4712,4140,6691,9192,8382,9970,8574,9141,4088,2239,346,7674,4861,3615,3968,9104,7289
"Site30",9046,7391,9682,7352,8427,1844,6723,1041,7160,3067,7141,5671,8029,3665,3291,2096,9883,2475,3565,828,4253,2038,2459,3949,4980,1935,5128,4603,4452,5544,5278,5020,822,3985,1319,8275,8618,6289,5505,9150,3290,6764,2324,2515,5587,3149,5747,8171,7781,6019,7285,47,2559,720,3985,3448,8310,4515,6620,8898,3585,8820,1465,970,1718,7075,4106,4489,5892,6510,4129,8274,7110,9099,2038,4998,4754,9053,8489,281,7436,7320,7561,4945,3475,331,1803,1687,82,1478,4538,9409,7828,4115,9104,9963,5621,7390,5387,3545
"Site31",8738,7101,958,655,9384,9301,2895,4559,6797,9694,5907,6960,8366,9689,8664,7350,764,7108,5302,6121,4652,550,1528,9622,6654,7169,9420,2307,8843,9101,5805,5013,1060,957,9941,1743,1706,6503,6597,8477,9618,8484,9193,7555,6381,66,6833,7068,4395,9917,3323,7858,2987,9111,7967,5162,3564,3791,3808,3022,7782,9358,3776,7458,2008,696,8960,8914,5302,3405,8382,5613,3801,4398,1849,5953,9296,9240,8377,8603,7809,6266,6074,9310,8183,6386,8341,6788,7750,9326,7245,9519,2343,4170,3562,6499,4465,3705,8309,7230
"Site32",2836,6395,9284,5252,5382,1551,9515,2900,818,8482,8043,2005,6139,7326,3349,897,2705,9109,9033,6863,1109,6467,4859,5754,1633,1670,4670,1273,8270,5357,8752,5032,4984,7766,924,7924,1611,8848,4267,7985,8390,5654,5764,8655,3581,4957,2134,9311,8325,9177,956,4069,1965,1767,1546,4140,8028,1275,4888,6900,6713,5756,4198,9345,8303,2942,2957,9242,4819,8015,7923,9638,9052,2984,8493,7198,3712,5176,3292,6705,2365,5150,8020,7818,4030,4462,1432,2465,8221,4990,9975,4630,9742,2422,526,4853,1193,8278,2708,3782
"Site33",335,9964,2248,8057,2689,3986,9938,402,3994,4739,6048,2501,2949,8729,3972,3462,397,9725,5401,8448,6279,742,8751,646,3669,9322,4174,880,9092,5763,4300,1181,3557,6118,5384,2827,5546,3719,1359,6359,5421,7228,1355,2069,8156,7709,5616,4002,5950,9986,5995,4595,683,9510,2800,4963,3125,1652,7282,6557,3202,1140,1648,3328,9755,8056,3320,4467,395,6928,8489,3497,5936,3717,6536,45,4674,9733,7695,6506,7656,627,4774,288,5044,4052,2001,7572,866,7386,4176,1600,6730,7976,1838,4710,589,8889,1507,1537
"Site34",3036,9878,4666,5621,5439,3596,3999,8963,6067,1308,4093,5713,403,5888,8238,6976,1859,9025,5098,2031,4474,2347,5693,2541,6017,9938,6814,417,5669,7008,4671,9947,7237,6603,8717,9629,1931,134,5922,1342,7348,848,6445,1441,2011,2845,6985,9314,6712,7102,8104,8496,206,2020,1398,4037,5265,5783,4540,3183,5056,709,7998,2578,5478,8366,6752,2456,5841,3452,2179,8462,6816,508,8628,2810,8484,4804,1376,8748,742,8478,438,4115,4258,3143,2960,3680,2560,2842,3351,7572,9509,5825,1792,2647,5569,9097,3167,4574
"Site35",4706,8972,2158,9119,774,5159,9279,8039,2714,7617,9667,3740,3622,6843,9235,4556,3708,6578,901,4229,3797,6751,3454,3833,9269,544,7181,2854,3282,2168,8075,2518,9273,7068,866,8105,5715,2345,4095,9942,5775,4967,5875,7632,3382,9563,6121,5258,3239,6861,8129,8009,1882,5883,3074,6087,9799,1029,3045,5086,5289,9136,4703,6028,187,4109,2138,2893,1931,2386,9773,8345,9955,5296,6566,5402,678,6284,3488,8978,6995,8993,5005,2309,3445,5943,4172,6560,6712,3142,7926,631,268,4912,1781,4887,4757,3582,3218,2785
"Site36",3491,97,6634,488,9602,3924,6398,7706,5092,3991,8101,6876,8000,4459,2699,8845,6765,8425,8210,5662,7981,9570,4950,2152,5,2130,2808,6073,3254,639,244,667,6663,562,541,3602,2575,2616,2711,3443,9563,6892,1351,1475,3832,2705,1899,8895,8552,9594,2837,2408,8258,1661,9152,9600,8006,3272,7067,3903,5358,2722,6401,5984,7203,5270,2975,8205,7418,6215,2648,4784,9209,5567,6025,9866,3201,5376,4456,705,3106,9127,6617,3994,5064,7270,7927,3602,396,4087,5150,1847,8899,9434,5661,9132,6082,1154,3884,4324
"Site37",7289,6304,9489,2508,1664,8478,12,8527,3587,9691,8220,5661,8136,3679,9931,4695,7185,8113,2694,8850,4889,7909,987,9958,5615,7385,2873,4563,1831,4106,9091,5029,1902,9660,1844,4489,848,2137,4919,7782,4509,4891,7968,3560,2548,3395,6359,1140,2350,4553,9857,5871,4668,3040,353,993,8878,1144,3045,5982,7257,2667,4494,7157,8489,1033,3934,7843,4729,7658,3685,1566,9191,8539,4011,4765,4854,7304,2741,8760,7586,5079,557,8082,1760,913,5857,1103,5243,6865,6336,9186,3973,5743,4488,4237,6442,2063,5447,3535
"Site38",8173,6978,8602,9257,7214,2438,4214,7233,7642,8742,4715,487,6827,1634,6047,42,3551,8953,5566,7530,555,8622,7531,2168,7205,5214,1400,8415,6488,8996,8160,8598,2883,8697,6343,605,5150,6583,1241,3048,7326,7771,6273,7506,1670,8803,5480,9592,8790,5314,252,1956,2796,7355,5416,220,2776,7175,1279,5760,6884,6961,165,5577,8197,3171,8100,4201,7132,4584,2968,1609,1107,725,6802,4027,5715,160,2732,3386,2659,7554,5808,5666,4862,3509,8875,1732,5609,3464,5109,2206,6949,2018,7408,8012,9648,3434,3448,2791
"Site39",2368,5785,5569,3436,2927,707,9661,9983,2130,4020,2843,5563,5229,4679,2047,4897,9090,365,6211,7395,4369,905,9302,9841,4091,6142,4623,7497,6663,7664,9581,2467,6687,1997,4236,9950,5936,592,6624,9515,8107,3785,2118,4606,3393,5156,1071,8221,1997,1679,2223,6008,2867,7727,4642,216,2341,7568,5435,1344,3260,5234,973,7956,7748,4091,5814,944,5369,742,5304,6853,3033,8175,1493,4051,4302,1545,6492,5581,2038,4486,6852,3546,4179,1610,4740,2632,4906,4469,7176,1865,7914,1845,2852,5912,1802,2661,2304,623
"Site40",3067,1303,2102,4348,1283,5000,5453,6624,5132,4297,3898,2977,6055,4447,7184,275,6481,7605,6058,9542,8223,1148,5272,8317,1130,370,5860,6947,3312,225,8552,2166,1894,8757,7251,4066,3827,5807,4747,805,5728,3656,8452,6122,7270,2394,7981,4380,6574,9734,5817,7597,9527,3635,5727,4514,8873,67,8335,6720,9030,6580,122,5523,3804,2574,1832,6646,1980,6697,7024,8529,4182,1564,6044,4706,4065,8443,2245,7624,8346,7270,5415,798,1980,8961,1400,6772,5357,3769,7233,152,1841,2816,9090,4403,6235,1139,6286,7871
"Site41",2239,2292,8027,7391,3111,3260,7886,1360,4700,2660,9801,2637,8584,4046,2876,4714,3554,7376,5242,4626,5100,7762,4067,6313,1322,8054,6168,2537,1317,2942,7909,5669,7379,6181,9143,9553,7925,9514,5341,770,6732,7168,3479,6494,3279,8078,923,9359,161,6693,4083,396,1503,3768,4098,329,996,4799,9204,9529,2111,7194,7827,7181,8687,9321,174,8730,3032,6231,2403,519,7530,4949,2219,186,6476,838,959,8903,8912,6462,34,7448,7351,3863,4675,817,3762,9525,9823,931,9937,3288,6630,5444,6097,9435,4071,8522
"Site42",9240,8180,9707,6656,859,8320,4676,2599,8320,9406,3686,6213,8276,3610,9624,7547,3122,1043,3356,9172,7785,2283,6578,1427,4878,594,824,2522,8690,1754,4940,8800,3049,5161,2579,9480,2724,8295,7457,8746,3304,6027,5954,2222,2913,4601,6604,2222,5308,5395,6593,8347,7000,6489,8193,1858,7512,7236,6066,6148,6313,4774,1597,7043,2682,2704,1735,6918,2840,2030,8133,274,6804,4047,8690,1890,5023,8471,7573,8685,8451,8424,7104,2686,3610,9820,4949,7489,5915,9824,4283,8559,4716,529,8660,1009,5813,7224,874,1118
"Site43",2053,1504,5036,5559,1555,7643,2036,6354,7872,1168,4653,8276,440,3696,4519,2615,1662,5947,1356,4584,9798,7294,6296,7743,464,1126,9867,4464,6784,1233,7949,6604,3272,4680,8629,1105,4411,6213,2217,7132,4487,3419,3742,6017,2409,6301,9022,8803,3030,4273,6181,450,7478,2606,1837,5713,3751,3606,1490,9062,8336,3355,9953,1888,6580,129,326,1707,4894,3030,3707,6999,4199,573,5203,3414,4608,7462,2607,2341,9953,9089,957,3293,3570,8442,6251,5345,6024,2659,6837,6619,1575,396,5622,372,5600,4105,8641,1822
"Site44",2022,9124,2094,2500,245,47,4063,7897,6502,1518,1432,9866,2370,2444,4995,670,4135,2591,6602,7943,5893,6800,6242,5671,5669,4344,9879,4399,3321,7985,6472,4246,4490,539,6719,9228,9970,4944,5239,3509,810,8809,6603,8544,3435,3147,4641,6336,932,4053,9518,3425,3694,3839,8706,4607,9268,6502,391,7295,8805,3339,2566,5288,822,9872,6047,2578,3324,3379,9553,6809,5345,1602,9776,585,1318,9437,4026,5385,3194,1058,8246,7197,6924,3366,1456,5124,9539,1001,3029,6153,1324,2627,2392,4514,909,2986,2677,8652
"Site45",2723,6816,2250,5411,2342,5514,1556,8321,1453,4441,8043,7360,8581,3791,3278,5022,6071,9397,8109,1632,7070,8749,9228,6356,8871,5110,5183,947,1384,8353,3823,7170,2942,1210,1707,8725,1578,5898,9002,9319,3726,5912,7863,3927,3101,3990,113,991,2996,7719,9843,3990,5445,8525,123,7046,8485,4554,5413,751,7057,670,7932,7052,4332,2693,5017,57,5797,1325,9528,2547,4177,4119,4491,4183,488,529,9044,3563,4054,2477,1252,1354,8173,9605,5462,8249,6392,4804,7794,9672,378,8719,9123,3076,3694,4278,2888,3606
